"province","district","sector","cell","village","gid","lon","lat"
"Umujyi wa Kigali","Gasabo","Nduba","Gasura","Kigufi","E113S76",30.1167143066436,-1.84585829336066
"Iburengerazuba","Karongi","Mutuntu","Gasharu","Gituntu","E105S80",29.4281771736244,-2.25448739868314
"Iburasirazuba","Gatsibo","Gitoki","Bukomane","Gakiri","E116S73",30.3711590790605,-1.63870733079503
"Iburengerazuba","Nyamasheke","Gihombo","Mubuga","Muhororo","E103S80",29.214340496875,-2.22319933937738
"Iburasirazuba","Kirehe","Nyarubuye","Nyarutunga","Bugarura","E120S79",30.756643778408,-2.17050459605305
"Iburengerazuba","Rubavu","Nyamyumba","Kinigi","Pfunda","E104S74",29.3062920889887,-1.71382383920678
"Iburasirazuba","Kirehe","Gahara","Nyakagezi","Rurama","E117S81",30.4977453937811,-2.29639998361748
"Iburasirazuba","Nyagatare","Kiyombe","Gataba","Ruhonwa","E113S71",30.1055117194381,-1.39909324745514
"Amajyepfo","Kamonyi","Rukoma","Gishyeshye","Gishyeshye","E111S77",29.8983562586779,-1.94069890451943
"Iburengerazuba","Rusizi","Nkungu","Gatare","Njambwe","E100S84",28.9560651615638,-2.55970396039623
"Iburasirazuba","Ngoma","Mutenderi","Mutenderi","Tonero","E117S80",30.4954347516878,-2.25577118918535
"Iburengerazuba","Karongi","Rubengera","Mataba","Nyagisozi","E105S78",29.3919485586179,-2.03742690765736
"Amajyaruguru","Gicumbi","Rwamiko","Cyeru","Mukuyu","E114S75",30.2135246107417,-1.78367981175268
"Amajyaruguru","Burera","Butaro","Rusumo","Buyanga","E110S71",29.8173044339014,-1.41868245481867
"Iburasirazuba","Ngoma","Mutenderi","Kibare","Ndarage","E117S80",30.4594389820084,-2.28698835538837
"Iburengerazuba","Ngororero","Nyange","Vuganyana","Nyamyungo","E107S78",29.6035109068301,-2.02586665556244
"Amajyepfo","Nyanza","Kibilizi","Rwotso","Mubano","E110S82",29.8560971161355,-2.40519733021819
"Iburasirazuba","Gatsibo","Kabarore","Nyabikiri","Ngarama","E116S73",30.4094522784695,-1.60302734442238
"Iburengerazuba","Ngororero","Sovu","Kanyana","Gahombo","E107S77",29.5224223853049,-1.93932724684884
"Amajyepfo","Nyamagabe","Kitabi","Mujuga","Gasasa","E106S83",29.4668567882795,-2.52577404039557
"Amajyepfo","Muhanga","Kabacuzi","Buramba","Kirambo","E109S77",29.7047558125512,-1.95235394432088
"Iburasirazuba","Rwamagana","Karenge","Bicaca","Kabeza","E116S78",30.3578126735062,-2.05585543238648
"Iburasirazuba","Gatsibo","Muhura","Rumuli","Rweza","E115S74",30.2810733687506,-1.71670648276997
"Iburengerazuba","Karongi","Gitesi","Nyamiringa","Burega","E105S79",29.4033025302687,-2.15040833076311
"Iburasirazuba","Rwamagana","Karenge","Kabasore","Migamba","E115S78",30.3082954335931,-2.08919087798605
"Amajyaruguru","Gakenke","Muzo","Mwiyando","Gitoke","E109S74",29.7159295369424,-1.72227662445532
"Iburengerazuba","Karongi","Murundi","Nzaratsi","Nyabinombe","E107S79",29.5473516079309,-2.15174329561686
"Iburasirazuba","Bugesera","Rweru","Kintambwe","Nzangwa","E115S81",30.2613216091015,-2.34366742377317
"Amajyaruguru","Rulindo","Ntarabana","Kiyanza","Nombe","E113S75",30.0806610987006,-1.75750781959167
"Iburengerazuba","Karongi","Murundi","Bukiro","Bukiro","E107S78",29.5360264152792,-2.0771457680455
"Iburasirazuba","Nyagatare","Musheri","Kibirizi","Kibirizi","E116S68",30.3647528845214,-1.13124001811098
"Amajyepfo","Nyaruguru","Nyagisozi","Nkakwa","Nyarubuye","E108S86",29.6181942503412,-2.77099104078527
"Iburasirazuba","Nyagatare","Karangazi","Musenyi","Ruziranyenzi","E116S71",30.386972992493,-1.47198592689405
"Amajyepfo","Gisagara","Kigembe","Nyabikenke","Umurangara","E109S86",29.7419872744484,-2.7585595886292
"Iburengerazuba","Karongi","Gitesi","Gasharu","Rwintare","E105S79",29.4145489885579,-2.1437391382968
"Iburasirazuba","Nyagatare","Rwimiyaga","Rutungu","Cyamunyana","E117S69",30.5110629304826,-1.21176315006443
"Iburengerazuba","Nyamasheke","Macuba","Mutongo","Kanyenkondo","E103S81",29.1941784395893,-2.2975345776612
"Amajyaruguru","Gicumbi","Rwamiko","Nyagahinga","Rugarama","E114S75",30.1797487088164,-1.79461281693487
"Amajyaruguru","Gicumbi","Muko","Ngange","Rudogo","E114S74",30.2247726101754,-1.71161168167901
"Amajyaruguru","Rulindo","Murambi","Bubangu","Rebero","E112S76",30.0289001875358,-1.8517415020828
"Iburasirazuba","Ngoma","Jarama","Kigoma","Remera","E116S80",30.4053671305908,-2.27741873114036
"Amajyaruguru","Gakenke","Mugunga","Nkomane","Kabuga","E108S74",29.66415354378,-1.69468967162499
"Amajyepfo","Huye","Karama","Kibingo","Mukimba","E108S84",29.6583052353572,-2.58395335090892
"Amajyepfo","Muhanga","Kiyumba","Ruhina","Busumba","E109S76",29.7587468759905,-1.8851736530196
"Amajyepfo","Ruhango","Kinihira","Gitinda","Nyarugunga","E108S79",29.6239104162723,-2.17729060490927
"Iburasirazuba","Rwamagana","Gahengeri","Kagezi","Akabuga","E115S77",30.3262019767609,-1.95176464215745
"Amajyepfo","Nyamagabe","Buruhukiro","Kizimyamuriro","Minaga","E105S82",29.4239758145461,-2.45990858659606
"Amajyaruguru","Rulindo","Murambi","Mvuzo","Kabeza","E112S75",30.0243799590773,-1.80206023496415
"Amajyepfo","Ruhango","Kinazi","Gisali","Nyabusunzu","E111S79",29.9165697813569,-2.17556714124235
"Iburasirazuba","Nyagatare","Musheri","Musheri","Musheri","E116S68",30.3962820342682,-1.13384011114947
"Amajyepfo","Huye","Ruhashya","Rugogwe","Umurambi","E109S83",29.7257004461995,-2.51007216809988
"Iburengerazuba","Nyamasheke","Kanjongo","Kigoya","Kabaga","E102S81",29.1604263740173,-2.29949316832273
"Amajyaruguru","Rulindo","Burega","Karengeri","Kanunga","E112S74",30.0333710535677,-1.7231875627742
"Amajyepfo","Ruhango","Ruhango","Rwoga","Rwinkuba","E109S80",29.7770953931965,-2.26676572172671
"Amajyaruguru","Gicumbi","Nyamiyaga","Kiziba","Nyirakagamba","E113S74",30.1437032439437,-1.66791631083571
"Amajyaruguru","Gicumbi","Kaniga","Nyarwambu","Mushunga","E112S71",30.0244318847994,-1.42982899496012
"Amajyepfo","Nyaruguru","Munini","Ngarurira","Uwumuko","E107S85",29.5280056909656,-2.70921887664446
"Iburasirazuba","Bugesera","Kamabuye","Nyakayaga","Ntungamo I","E113S81",30.1509735285569,-2.34483948196395
"Amajyaruguru","Musanze","Kinigi","Kampanga","Rutindo","E107S71",29.562917572842,-1.44998230004443
"Iburengerazuba","Ngororero","Nyange","Nsibo","Kanyinya","E107S78",29.5810157327444,-2.0437108692168
"Iburasirazuba","Kirehe","Musaza","Nganda","Nyamiyaga","E119S81",30.6036589265888,-2.32229234737459
"Iburengerazuba","Ngororero","Sovu","Nyabipfura","Nyirabwina","E106S76",29.4728845447002,-1.89822971617306
"Amajyepfo","Nyanza","Nyagisozi","Rurangazi","Nyamagana","E108S82",29.6579382977773,-2.37625457828495
"Amajyaruguru","Gicumbi","Rushaki","Kamutora","Nkamba","E113S71",30.0919723350072,-1.4485756006665
"Iburasirazuba","Bugesera","Nyarugenge","Ngenda","Tubumba","E112S81",29.9933112237406,-2.32074220543762
"Iburasirazuba","Kayonza","Mukarange","Nyagatovu","Nyagatovu","E117S76",30.4703173649844,-1.89912010147176
"Amajyaruguru","Gakenke","Cyabingo","Mutanda","Kambare","E108S73",29.6754154600003,-1.59551069365241
"Amajyepfo","Gisagara","Kibirizi","Muyira","Agasharu","E109S84",29.7754778688891,-2.63469454507385
"Amajyaruguru","Rulindo","Cyungo","Burehe","Nyagatovu","E111S73",29.9297998687674,-1.63415207908251
"Iburengerazuba","Nyamasheke","Mahembe","Nyakavumu","Nyarusiza","E104S81",29.2954277254749,-2.28263423967952
"Amajyaruguru","Rulindo","Buyoga","Karama","Cyasenge","E112S74",29.9860861452419,-1.70466040975433
